ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM
120246,f,false,135800,false,319172,false
120341,f,false,,false,,false
120354,f,false,106692,false,100847,false
120374,f,false,401583,false,379501,false
120388,f,false,262966,false,296598,false
120389,f,false,217196,false,202462,false
120434,f,true,182751,false,244599,true
120451,m,false,,false,,false
120462,f,false,,false,,false
120486,f,false,,false,,false
120543,m,false,,false,,false
120545,f,false,363295,false,125245,false
120560,m,false,,false,,false
120629,f,false,322201,false,377196,false
120649,f,false,,false,,false
120670,f,false,,false,,false
120679,m,false,339116,false,384420,false
120682,f,false,,false,,false
120729,f,false,214803,false,299450,false
120751,f,false,,false,,false
120777,m,false,,false,,false
120832,f,false,,false,,false
120834,f,false,375591,false,322422,false
120837,m,false,,false,,false
120861,f,false,190346,false,350231,false
120868,m,false,,false,,false
120870,f,false,,false,,false
120871,m,false,138483,false,294597,false
120877,m,false,,false,,false
120897,m,false,283059,false,104942,false
120924,m,false,,false,,false
120941,m,false,171006,false,269000,false
120962,f,false,,false,,false
120976,m,false,194344,false,124410,false
120991,f,false,,false,,false
121033,m,false,,false,,false
121042,f,false,,false,,false
121065,f,false,138924,false,252259,false
121097,m,false,,false,,false
121148,m,false,,false,,false
121164,f,false,297795,false,142085,false
121166,f,false,136467,false,134678,false
121174,m,false,306876,false,158925,true
121183,m,false,,false,,false
121217,f,false,,false,,false
121251,f,false,195753,false,289035,false
121256,m,false,,false,,false
121282,f,false,,false,,false
121336,f,false,,false,,false
121364,f,false,238427,false,324784,false
121486,m,false,,false,,false
121519,m,false,173730,false,218781,false
121536,f,false,340994,false,198745,false
121580,m,false,,false,,false
121602,m,false,346593,false,215748,false
121630,f,false,,false,,false
121634,m,false,108914,false,381992,false
121657,f,false,363644,false,398818,false
121717,f,false,,false,,false
121758,m,false,,false,,false
121766,f,false,128397,true,215411,false
121774,f,false,105259,false,284140,false
121822,m,false,,false,,false
121831,f,false,266817,false,142778,false
121841,m,false,,false,,false
121851,f,false,392235,false,406877,false
121852,f,false,179549,false,259874,false
122000,f,false,359767,false,261230,false
122025,m,false,,false,,false
122081,f,false,,false,,false
122165,f,false,,false,,false
122179,f,false,,false,,false
122207,f,false,,false,,false
122217,f,false,208177,false,182906,false
122271,m,false,,false,,false
122277,f,false,347008,false,295640,false
122302,f,false,,false,,false
122308,m,false,,false,,false
122321,f,false,,false,,false
122362,f,false,,false,,false
122364,f,false,,false,,false
122384,f,false,,false,,false
122402,f,false,,false,,false
122414,m,false,260986,false,238238,false
122431,m,false,,false,,false
122440,m,false,,false,,false
122445,f,false,273914,false,412135,false
122489,m,false,,false,,false
122551,m,false,,false,,false
122560,f,false,204133,false,318231,false
122581,m,false,252700,false,369496,false
122604,f,false,,false,,false
122674,m,false,,false,,false
122711,m,false,,false,,false
122716,m,false,,false,,false
122749,f,false,,false,,false
122768,f,false,,false,,false
122791,m,false,,false,,false
122892,m,false,192360,false,323615,false
122911,f,false,,false,,false
122920,f,false,182751,false,244599,true
122949,m,false,,false,,false
122995,f,false,,false,,false
123018,m,false,,false,,false
123021,m,true,146352,false,338838,false
123051,m,false,,false,,false
123091,f,false,314066,false,266407,false
123105,f,false,412193,false,235233,false
123120,f,false,196386,false,135323,false
123164,m,false,154397,false,331618,false
123197,m,false,,false,,false
123224,f,false,126663,false,307449,false
123282,f,false,359160,false,171298,false
123289,m,true,266589,false,217773,false
123408,f,false,374754,false,287055,false
123432,f,false,,false,,false
123438,f,false,,false,,false
123466,m,false,,false,,false
123526,f,false,,false,,false
123539,f,false,372628,false,230901,false
123564,m,false,,false,,false
123606,f,false,155911,false,361778,false
123798,m,false,393616,false,245121,false
123801,m,false,,false,,false
