ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM,Probability
117818,f,False,,False,,False,0.0
117860,f,False,,False,,False,0.0
117872,m,False,,False,,False,0.0
117882,f,False,387667.0,False,212511.0,False,0.0
117891,m,False,396336.0,False,373949.0,False,0.0
117892,m,False,,False,,False,0.0
117929,f,False,,False,,False,0.0
117982,f,False,,False,,False,0.0
117984,f,False,,False,,False,0.0
118023,m,False,,False,,False,0.0
118032,f,False,347008.0,False,295640.0,False,0.0
118144,f,False,278117.0,False,185593.0,False,0.0
118147,f,False,345953.0,False,230022.0,False,0.0
118175,m,False,,False,,False,0.0
118193,m,False,,False,,False,0.0
118304,m,False,,False,,False,0.0
118347,f,False,,False,,False,0.0
118359,f,False,382772.0,False,361977.0,False,0.0
118441,m,False,109423.0,False,198941.0,False,0.0
118465,m,True,309735.0,False,244909.0,False,0.0
118523,m,False,382724.0,False,200417.0,False,0.0
118565,f,False,,False,,False,0.0
118629,m,False,,False,,False,0.0
118673,f,False,,False,,False,0.0
118687,f,False,,False,,False,0.0
118688,m,False,,False,,False,0.0
118742,m,True,387667.0,False,212511.0,False,0.0
118759,f,False,245588.0,False,188530.0,False,0.0
118764,f,False,,False,,False,0.0
118783,m,False,,False,,False,0.0
118784,m,False,,False,,False,0.0
118834,m,False,,False,,False,0.0
118877,m,False,,False,,False,0.0
118880,f,False,,False,,False,0.0
118929,f,False,,False,,False,0.0
118966,m,False,,False,,False,0.0
119048,m,False,366924.0,False,220738.0,False,0.0
119153,m,False,,False,,False,0.0
119258,f,False,110644.0,False,300340.0,False,0.0
119264,f,False,182607.0,False,158637.0,False,0.0
119288,m,False,,False,,False,0.0
119324,m,False,251515.0,False,312823.0,False,0.0
119333,f,False,287003.0,False,144673.0,False,0.0
119377,m,False,,False,,False,0.0
119406,f,False,302284.0,False,163586.0,False,0.0
119431,f,False,244763.0,False,185315.0,False,0.0
119446,m,False,,False,,False,0.0
119456,m,False,204943.0,False,275823.0,False,0.0
119458,m,True,248528.0,False,199416.0,False,0.0
119467,f,False,125255.0,False,113107.0,False,0.0
119481,f,False,304410.0,False,341648.0,False,0.0
119575,f,False,,False,,False,0.0
119587,m,False,,False,,False,0.0
119632,f,False,343971.0,False,174386.0,False,0.0
119671,f,False,171463.0,False,116916.0,False,0.0
119674,f,False,272578.0,False,381580.0,False,0.0
119771,m,False,,False,,False,0.0
119791,f,False,160606.0,False,266240.0,False,0.0
119845,m,False,,False,,False,0.0
119920,m,False,,False,,False,0.0
120019,m,False,,False,,False,0.0
120036,f,False,,False,,False,0.0
120055,m,False,,False,,False,0.0
120079,f,False,,False,,False,0.0
